url_length,is_https,subdomain_count,has_ip_address,hyphen_count,dot_count,is_suspicious_tld,domain_length,longest_numeric_sequence,numeric_ratio,domain_entropy,is_punycode,suspicious_keyword_count,path_length,query_length,non_standard_port,brand_detected,brand_domain_match,brand_domain_mismatch,ssl_chain_valid,ssl_expired,ssl_self_signed,ssl_recognized_ca,dom_element_count,dom_form_count,dom_iframe_count,dom_script_count,password_input_count,email_input_count,card_input_count,otp_input_count,hidden_input_count,login_keyword_count,external_form_action_count,cross_domain_form_action_count,has_credential_harvesting_form,network_request_count,network_https_ratio,network_unique_domains_count,network_external_domains_count,js_script_count,js_dom_modifications,js_external_api_calls,has_screenshot,viewport_width,viewport_height,image_count,threat_intelligence_flag,is_phishing
23.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.69318,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,965.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.9424088,2.0,1.0,10.0,66.0,14.0,1.0,1920.0,1080.0,10.0,0.0,0
58.0,1.0,2.0,0.0,1.0,3.0,0.0,19.0,12.0,0.6315789,3.0634236,0.0,0.0,15.0,28.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,64.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,28.0,0.85171235,3.0,3.0,5.0,13.0,6.0,0.0,1280.0,800.0,8.0,0.0,1
29.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.4570656,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2009.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,80.0,0.99437195,4.0,3.0,14.0,230.0,17.0,1.0,1920.0,1080.0,13.0,0.0,0
45.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,2.74592,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,560.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,0.9369209,11.0,3.0,19.0,388.0,1.0,1.0,1920.0,1080.0,44.0,0.0,0
66.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0,3.3071537,0.0,3.0,9.0,28.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,231.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,25.0,0.69763666,6.0,4.0,8.0,99.0,8.0,1.0,1280.0,800.0,10.0,0.0,1
26.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.06666667,2.3098967,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1447.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,0.9685648,14.0,3.0,26.0,472.0,9.0,1.0,1920.0,1080.0,20.0,0.0,0
34.0,1.0,1.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.1788347,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1065.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,80.0,0.9704341,7.0,2.0,5.0,218.0,5.0,1.0,1280.0,800.0,19.0,0.0,0
18.0,1.0,1.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,2.3820431,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2364.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,117.0,0.9708331,9.0,2.0,3.0,290.0,9.0,1.0,1920.0,1080.0,6.0,0.0,0
26.0,1.0,1.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,2.3991284,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1157.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.99773806,10.0,5.0,11.0,210.0,13.0,1.0,1920.0,1080.0,5.0,0.0,0
36.0,1.0,2.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,2.5658712,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,254.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.93674576,7.0,1.0,8.0,79.0,1.0,1.0,1280.0,800.0,3.0,0.0,0
