url_length,is_https,subdomain_count,has_ip_address,hyphen_count,dot_count,is_suspicious_tld,domain_length,longest_numeric_sequence,numeric_ratio,domain_entropy,is_punycode,suspicious_keyword_count,path_length,query_length,non_standard_port,brand_detected,brand_domain_match,brand_domain_mismatch,ssl_chain_valid,ssl_expired,ssl_self_signed,ssl_recognized_ca,dom_element_count,dom_form_count,dom_iframe_count,dom_script_count,password_input_count,email_input_count,card_input_count,otp_input_count,hidden_input_count,login_keyword_count,external_form_action_count,cross_domain_form_action_count,has_credential_harvesting_form,network_request_count,network_https_ratio,network_unique_domains_count,network_external_domains_count,js_script_count,js_dom_modifications,js_external_api_calls,has_screenshot,viewport_width,viewport_height,image_count,threat_intelligence_flag,is_phishing
46.0,1.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,2.1755086958186594,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1295.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,0.9689482315777904,10.0,2.0,13.0,368.0,19.0,1.0,1920.0,1080.0,4.0,0.0,0
24.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,2.601041453301891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,855.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.9366353330294551,4.0,3.0,5.0,481.0,17.0,1.0,1280.0,800.0,35.0,0.0,0
53.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.3495236316541535,0.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,572.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.9204417693698882,11.0,2.0,10.0,85.0,7.0,1.0,1280.0,800.0,34.0,0.0,0
22.0,1.0,1.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,2.5301674323084438,0.0,0.0,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1650.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,23.0,0.976853031174863,10.0,9.0,15.0,384.0,12.0,1.0,1920.0,1080.0,33.0,0.0,0
49.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,2.3974376151391095,0.0,0.0,21.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,875.0,2.0,0.0,24.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,117.0,0.9925462753236604,1.0,0.0,24.0,287.0,19.0,1.0,1920.0,1080.0,4.0,0.0,0
25.0,1.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,3.3257826150862746,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,643.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,73.0,0.9687651467183918,2.0,1.0,18.0,347.0,4.0,1.0,1920.0,1080.0,2.0,0.0,0
19.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0901054999273327,0.0,0.0,23.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2271.0,2.0,0.0,20.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,33.0,0.9478932789833384,7.0,3.0,20.0,493.0,0.0,1.0,1920.0,1080.0,40.0,0.0,0
18.0,1.0,1.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,2.4353241160297023,0.0,0.0,25.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2381.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.9885059433502474,6.0,5.0,20.0,165.0,19.0,1.0,1920.0,1080.0,9.0,0.0,0
37.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,2.3090504668427485,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,477.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,47.0,0.9634032184443919,11.0,2.0,4.0,474.0,13.0,1.0,1920.0,1080.0,39.0,0.0,0
25.0,1.0,1.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,3.223417834593474,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1323.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,107.0,0.9542547318653851,5.0,2.0,10.0,192.0,0.0,1.0,1920.0,1080.0,22.0,0.0,0
20.0,1.0,1.0,0.0,1.0,2.0,0.0,16.0,1.0,0.0625,2.1915409701044073,0.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,325.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,21.0,0.9601213035749759,13.0,3.0,25.0,325.0,7.0,1.0,1280.0,800.0,17.0,0.0,0
29.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,2.5265984677171516,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,917.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.9565812129290983,6.0,3.0,22.0,354.0,14.0,1.0,1920.0,1080.0,41.0,0.0,0
33.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.6635769588549647,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2011.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.9947691197871767,1.0,0.0,23.0,196.0,4.0,1.0,1920.0,1080.0,4.0,0.0,0
43.0,1.0,1.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,2.222404084749128,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,630.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114.0,0.9236243207817636,10.0,9.0,11.0,151.0,0.0,1.0,1920.0,1080.0,5.0,0.0,0
45.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,2.2670504592040834,0.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,91.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.9508317296772453,10.0,9.0,24.0,422.0,18.0,1.0,1920.0,1080.0,5.0,0.0,0
28.0,1.0,1.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.650512225000554,0.0,0.0,34.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1767.0,2.0,1.0,26.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,44.0,0.9922042325343653,14.0,3.0,26.0,372.0,12.0,1.0,1280.0,800.0,37.0,0.0,0
36.0,1.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,2.9213883758207393,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1247.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.9789628445432808,13.0,1.0,15.0,243.0,11.0,1.0,1920.0,1080.0,18.0,0.0,0
24.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,2.20575341483447,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1760.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,75.0,0.9502390072097804,7.0,6.0,29.0,350.0,18.0,1.0,1920.0,1080.0,4.0,0.0,0
30.0,1.0,1.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.9439733927508827,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,903.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.9234720626638538,5.0,4.0,14.0,168.0,2.0,1.0,1920.0,1080.0,19.0,0.0,0
31.0,1.0,2.0,0.0,0.0,3.0,0.0,9.0,1.0,0.1111111111111111,2.1590802944438954,0.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1225.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.940795989028341,11.0,5.0,29.0,451.0,16.0,1.0,1920.0,1080.0,21.0,0.0,0
45.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.08333333333333333,3.043435360904868,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1108.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.9799662639980857,9.0,5.0,16.0,319.0,16.0,1.0,1280.0,800.0,35.0,0.0,0
52.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,3.3996329752719694,0.0,1.0,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1981.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,48.0,0.9486530174426273,8.0,6.0,18.0,158.0,1.0,1.0,1920.0,1080.0,4.0,0.0,0
29.0,1.0,2.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0,2.274219796985833,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,843.0,3.0,1.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,111.0,0.9826922410192914,12.0,6.0,21.0,110.0,18.0,1.0,1920.0,1080.0,30.0,0.0,0
27.0,1.0,1.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.9070473897487186,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2222.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,110.0,0.9579169312210298,13.0,1.0,25.0,65.0,18.0,1.0,1920.0,1080.0,6.0,0.0,0
45.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,2.36823383392753,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2341.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,0.9267613606144546,3.0,2.0,18.0,211.0,14.0,1.0,1920.0,1080.0,23.0,0.0,0
43.0,1.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,2.428168027647227,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1986.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.9271363462969645,14.0,8.0,8.0,149.0,12.0,1.0,1920.0,1080.0,5.0,0.0,0
20.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,3.069071316439629,0.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2055.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.9880654014268917,14.0,7.0,7.0,315.0,8.0,1.0,1920.0,1080.0,32.0,0.0,0
53.0,0.0,1.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,3.162193692234064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.19696389296603212,1.0,0.0,20.0,146.0,5.0,1.0,1920.0,1080.0,12.0,0.0,0
