url_length,is_https,subdomain_count,has_ip_address,hyphen_count,dot_count,is_suspicious_tld,domain_length,longest_numeric_sequence,numeric_ratio,domain_entropy,is_punycode,suspicious_keyword_count,path_length,query_length,non_standard_port,brand_detected,brand_domain_match,brand_domain_mismatch,ssl_chain_valid,ssl_expired,ssl_self_signed,ssl_recognized_ca,dom_element_count,dom_form_count,dom_iframe_count,dom_script_count,password_input_count,email_input_count,card_input_count,otp_input_count,hidden_input_count,login_keyword_count,external_form_action_count,cross_domain_form_action_count,has_credential_harvesting_form,network_request_count,network_https_ratio,network_unique_domains_count,network_external_domains_count,js_script_count,js_dom_modifications,js_external_api_calls,has_screenshot,viewport_width,viewport_height,image_count,threat_intelligence_flag,is_phishing
35.0,1.0,0.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,3.6921400311965584,0.0,0.0,55.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,346.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,33.0,0.7783033443358875,6.0,5.0,10.0,47.0,8.0,1.0,1280.0,800.0,3.0,0.0,1
64.0,1.0,1.0,0.0,4.0,2.0,1.0,15.0,5.0,0.3333333333333333,3.2363636665011124,0.0,0.0,56.0,34.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,294.0,1.0,6.0,9.0,0.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,11.0,0.8907951967871954,5.0,5.0,9.0,59.0,1.0,1.0,1280.0,800.0,5.0,0.0,1
86.0,1.0,1.0,0.0,2.0,2.0,0.0,27.0,5.0,0.18518518518518517,3.527332675930567,0.0,3.0,41.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,138.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,33.0,0.7165690758694432,5.0,3.0,9.0,26.0,12.0,1.0,1280.0,800.0,1.0,0.0,1
88.0,1.0,2.0,0.0,4.0,3.0,1.0,25.0,8.0,0.32,3.2781461531954856,0.0,1.0,51.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,92.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,28.0,0.8392752546328507,4.0,2.0,8.0,116.0,9.0,1.0,1280.0,800.0,11.0,0.0,1
60.0,0.0,1.0,0.0,4.0,2.0,0.0,25.0,5.0,0.2,3.8661810542141613,0.0,3.0,9.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,10.0,0.21691146895630783,3.0,1.0,8.0,32.0,2.0,1.0,1280.0,800.0,7.0,0.0,1
93.0,1.0,2.0,0.0,1.0,3.0,1.0,14.0,10.0,0.6660143852300631,4.15720376763059,0.0,0.0,58.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,348.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,26.0,0.9419456554806622,1.0,4.0,6.0,10.0,7.0,1.0,1280.0,800.0,9.0,0.0,1
40.0,1.0,0.0,0.0,2.0,1.0,0.0,18.0,2.0,0.1111111111111111,3.864582947452241,0.0,1.0,8.0,40.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,129.0,1.0,0.0,11.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,14.0,0.8056152788373145,2.0,3.0,11.0,61.0,10.0,1.0,1280.0,800.0,4.0,0.0,1
45.0,0.0,2.0,0.0,1.0,3.0,0.0,17.0,8.0,0.47058823529411764,3.390610523448946,0.0,0.0,51.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,39.0,0.10934037239661183,7.0,2.0,6.0,77.0,14.0,1.0,1280.0,800.0,12.0,1.0,1
58.0,1.0,1.0,0.0,1.0,2.0,0.0,21.0,0.0,0.0,3.7202434232899515,1.0,1.0,8.0,36.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,172.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,35.0,0.9006765037533588,3.0,5.0,4.0,83.0,3.0,1.0,1280.0,800.0,8.0,0.0,1
75.0,1.0,2.0,0.0,2.0,3.0,0.0,11.0,5.0,0.45454545454545453,3.868990665123789,0.0,0.0,56.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,140.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,26.0,0.8422502422625231,4.0,4.0,7.0,61.0,8.0,1.0,1280.0,800.0,2.0,1.0,1
